Davce,21384762,davce.davce@gmail.com,89 Davce St,9832,08*21,234,Lol
Joel Simpson,225355898,simpson.joel101@gmail.com,99 Mclintock St,9472,02*23,834,Wednesday
John Latter,223846432,john.latter@gmail.com,123 John St,7324,02*24,873,Johndo
Sam Beard,214857433,sam.beard@gmail.com,87 Sam St,2394,02*25,435,TimeConstruct
Western,278374532,western.western@gmail.com,87 Western St,8923,05*27,234,Atom
Matt Rowling,223496743,matt.rowling@gmail.com,234 Karori Rd ,2385,09*21,782,Dave
Jack France,221604433,jack.france@gmail.com,98 Jack St,2345,07*23,234,L
Leo Willams ,32857345,leo.willams@gmail.com,99 Leo St,8546,09*21,983,Sux
Dave,223784734,dave.dave@gmail.com,99 Dave St,9238,07*23,734,Dave!
Super Man,911,super.man@gmail.com,101 Daily Planet St,9834 2894 8734 7623,07*25,273,Ihatebman
Batman,911,b.man@gmail.com,25 Bman St,8364 6374 8273 7645,09*26,823,Justice
Steve Rogers ,0278376537,steve.rogers@gmail.com,101 Justice Ave,2834 1284 8347 6734,06*23,867,Peggy
